delay,trial,t_sync,r_final,phase_variance
0.0,0,,0.14922977170264531,0.8507702282973547
0.0,1,,0.8846640851835184,0.11533591481648164
0.0,2,1.6580000000000001,0.9005328295024032,0.09946717049759679
0.0,3,0.6980000000000001,0.9156138094574663,0.08438619054253371
0.0,4,1.385,0.9586872783721966,0.04131272162780342
0.0,5,0.369,0.7657363735137793,0.23426362648622068
0.0,6,0.868,0.7485455462741212,0.2514544537258788
0.0,7,,0.45569471668902173,0.5443052833109783
0.0,8,0.892,0.9474841743381814,0.05251582566181856
0.0,9,1.008,0.9027539791835312,0.09724602081646883
0.1,0,2.057,0.9491060060386665,0.05089399396133354
0.1,1,1.852,0.9672391963528831,0.032760803647116865
0.1,2,1.729,0.9717462667850509,0.02825373321494906
0.1,3,,0.5949709053707098,0.40502909462929015
0.1,4,,0.21998790062781734,0.7800120993721826
0.1,5,,0.6144309708127956,0.38556902918720437
0.1,6,,0.5036452313351064,0.4963547686648936
0.1,7,,0.568575448953875,0.431424551046125
0.1,8,2.547,0.8542001835669687,0.1457998164330313
0.1,9,,0.8511299569083682,0.14887004309163177
0.2,0,,0.042800105963057354,0.9571998940369426
0.2,1,,0.0660889642866559,0.9339110357133441
0.2,2,,0.10890512373947069,0.8910948762605293
0.2,3,,0.27373030907666107,0.7262696909233389
0.2,4,,0.1668367758849714,0.8331632241150286
0.2,5,,0.16228219415745423,0.8377178058425457
0.2,6,,0.05348788943317782,0.9465121105668222
0.2,7,,0.14004930563768309,0.859950694362317
0.2,8,,0.1625966894227604,0.8374033105772396
0.2,9,,0.22198634118977642,0.7780136588102236
0.30000000000000004,0,,0.15148996653217123,0.8485100334678288
0.30000000000000004,1,,0.15953838046398075,0.8404616195360193
0.30000000000000004,2,,0.15133354580328154,0.8486664541967185
0.30000000000000004,3,,0.22417723284942284,0.7758227671505772
0.30000000000000004,4,,0.3562454892965265,0.6437545107034734
0.30000000000000004,5,,0.522301997342027,0.477698002657973
0.30000000000000004,6,,0.5116272268248067,0.48837277317519334
0.30000000000000004,7,,0.4955095515517427,0.5044904484482573
0.30000000000000004,8,,0.25516492044665556,0.7448350795533445
0.30000000000000004,9,,0.06958966266885043,0.9304103373311495
0.4,0,,0.723505787079852,0.276494212920148
0.4,1,,0.311118718958308,0.688881281041692
0.4,2,3.872,0.5836824008872433,0.4163175991127567
0.4,3,1.869,0.9525405529371047,0.04745944706289529
0.4,4,3.085,0.9087032815935624,0.0912967184064376
0.4,5,1.3980000000000001,0.982838344630199,0.017161655369800966
0.4,6,6.112,0.8601029112717097,0.13989708872829032
0.4,7,,0.6772933477118597,0.3227066522881403
0.4,8,2.9010000000000002,0.9531217129406475,0.046878287059352486
0.4,9,2.281,0.9155099874107216,0.08449001258927835
0.5,0,2.6270000000000002,0.8665898454109349,0.13341015458906513
0.5,1,3.6750000000000003,0.6856292773613768,0.3143707226386232
0.5,2,,0.45652883329395866,0.5434711667060413
0.5,3,3.743,0.9261620378831888,0.07383796211681115
0.5,4,2.455,0.8141654586809094,0.1858345413190906
0.5,5,3.206,0.8361315418172132,0.16386845818278684
0.5,6,6.5760000000000005,0.6468492927132964,0.3531507072867036
0.5,7,3.375,0.833787028452832,0.16621297154716796
0.5,8,1.94,0.9876671102848301,0.012332889715169881
0.5,9,4.043,0.9701942418269529,0.029805758173047092
0.6000000000000001,0,2.457,0.8443270842568221,0.15567291574317788
0.6000000000000001,1,7.287,0.9805448282780383,0.01945517172196165
0.6000000000000001,2,8.05,0.6979705490367195,0.3020294509632805
0.6000000000000001,3,,0.04220056908685941,0.9577994309131406
0.6000000000000001,4,,0.20317701895976648,0.7968229810402335
0.6000000000000001,5,4.005,0.9665813031031251,0.03341869689687493
0.6000000000000001,6,2.068,0.9684530641646487,0.031546935835351286
0.6000000000000001,7,,0.5756361810290923,0.4243638189709077
0.6000000000000001,8,,0.8425724657293163,0.15742753427068368
0.6000000000000001,9,3.137,0.9349373794846751,0.06506262051532485
0.7000000000000001,0,,0.30498801689862315,0.6950119831013768
0.7000000000000001,1,,0.5731934404250304,0.4268065595749696
0.7000000000000001,2,,0.31207083452395556,0.6879291654760444
0.7000000000000001,3,3.934,0.9543251100896981,0.045674889910301886
0.7000000000000001,4,6.708,0.9250868809185085,0.07491311908149145
0.7000000000000001,5,,0.694574359624145,0.30542564037585496
0.7000000000000001,6,7.024,0.9639585703600471,0.03604142963995294
0.7000000000000001,7,,0.27433857692802144,0.7256614230719786
0.7000000000000001,8,,0.3589378351029997,0.6410621648970003
0.7000000000000001,9,,0.6966300436749291,0.3033699563250709
0.8,0,,0.48921512899590547,0.5107848710040945
0.8,1,,0.8098754444375835,0.19012455556241648
0.8,2,3.7640000000000002,0.9081690728333149,0.09183092716668506
0.8,3,6.732,0.966536250326293,0.03346374967370702
0.8,4,4.724,0.7823195044436815,0.21768049555631852
0.8,5,2.584,0.8069290545851292,0.1930709454148708
0.8,6,2.6390000000000002,0.8823961719753185,0.1176038280246815
0.8,7,,0.5083594653825597,0.4916405346174403
0.8,8,,0.32572068090205264,0.6742793190979474
0.8,9,,0.8049999291999648,0.19500007080003523
0.9,0,3.5540000000000003,0.979616577580501,0.020383422419498975
0.9,1,3.797,0.9687910583351931,0.031208941664806922
0.9,2,3.629,0.9116233058831374,0.08837669411686255
0.9,3,4.1930000000000005,0.7697774554009343,0.23022254459906566
0.9,4,5.3740000000000006,0.9778814387579976,0.0221185612420024
0.9,5,2.753,0.7389232897815641,0.2610767102184359
0.9,6,4.223,0.963324366797933,0.036675633202067015
0.9,7,2.946,0.9550340529407481,0.04496594705925194
0.9,8,2.826,0.9791338155447206,0.020866184455279435
0.9,9,7.488,0.9408911779113273,0.05910882208867274
1.0,0,,0.7272342829258657,0.27276571707413433
1.0,1,9.57,0.7699145858544129,0.23008541414558714
1.0,2,8.516,0.6976998340178825,0.3023001659821175
1.0,3,6.184,0.7395959048729035,0.2604040951270965
1.0,4,7.319,0.7424221686250073,0.2575778313749927
1.0,5,2.798,0.6865741851062707,0.31342581489372934
1.0,6,5.768,0.7600238633981936,0.2399761366018064
1.0,7,4.622,0.9348217426056857,0.06517825739431427
1.0,8,4.126,0.8400277650123884,0.1599722349876116
1.0,9,5.114,0.9421163639381003,0.057883636061899724
1.1,0,5.618,0.8129445847875827,0.1870554152124173
1.1,1,9.149000000000001,0.8701726834578999,0.1298273165421001
1.1,2,3.8160000000000003,0.9766716086422911,0.023328391357708922
1.1,3,,0.24884808793344515,0.7511519120665548
1.1,4,5.039,0.8004974899524728,0.19950251004752717
1.1,5,,0.567552486846966,0.432447513153034
1.1,6,,0.48651324685327013,0.5134867531467299
1.1,7,6.2,0.9018851173147712,0.09811488268522883
