topology,K,sync_probability
star,3.4693877551020407,0.15
star,3.673469387755102,0.05
star,3.8775510204081636,0.1
star,4.081632653061225,0.35
star,4.285714285714286,0.3
star,4.4897959183673475,0.25
star,4.6938775510204085,0.35
star,4.8979591836734695,0.35
star,5.1020408163265305,0.45
star,5.3061224489795915,0.4
star,5.510204081632653,0.4
star,5.714285714285714,0.6
star,5.918367346938775,0.4
star,6.122448979591837,0.55
star,6.326530612244898,0.45
star,6.530612244897959,0.6
star,6.73469387755102,0.6
star,6.938775510204081,0.55
star,7.142857142857143,0.45
star,7.346938775510204,0.45
star,7.551020408163265,0.3
star,7.755102040816327,0.5
star,7.959183673469388,0.5
star,8.16326530612245,0.65
star,8.36734693877551,0.7
star,8.571428571428571,0.5
star,8.775510204081632,0.4
star,8.979591836734695,0.75
star,9.183673469387756,0.65
star,9.387755102040817,0.7
star,9.591836734693878,0.65
star,9.795918367346939,0.7
star,10.0,0.6
random_er,0.0,0.0
random_er,0.20408163265306123,0.0
random_er,0.40816326530612246,0.0
random_er,0.6122448979591837,0.0
random_er,0.8163265306122449,0.0
random_er,1.0204081632653061,0.0
random_er,1.2244897959183674,0.0
random_er,1.4285714285714286,0.05
random_er,1.6326530612244898,0.0
random_er,1.836734693877551,0.0
random_er,2.0408163265306123,0.0
random_er,2.2448979591836737,0.0
random_er,2.4489795918367347,0.0
random_er,2.6530612244897958,0.05
random_er,2.857142857142857,0.0
random_er,3.0612244897959187,0.05
random_er,3.2653061224489797,0.05
random_er,3.4693877551020407,0.0
random_er,3.673469387755102,0.2
random_er,3.8775510204081636,0.1
random_er,4.081632653061225,0.25
random_er,4.285714285714286,0.15
random_er,4.4897959183673475,0.1
random_er,4.6938775510204085,0.05
random_er,4.8979591836734695,0.05
random_er,5.1020408163265305,0.3
random_er,5.3061224489795915,0.2
random_er,5.510204081632653,0.35
random_er,5.714285714285714,0.15
random_er,5.918367346938775,0.15
random_er,6.122448979591837,0.2
random_er,6.326530612244898,0.1
random_er,6.530612244897959,0.3
random_er,6.73469387755102,0.25
random_er,6.938775510204081,0.2
random_er,7.142857142857143,0.3
random_er,7.346938775510204,0.3
random_er,7.551020408163265,0.35
random_er,7.755102040816327,0.15
random_er,7.959183673469388,0.35
random_er,8.16326530612245,0.25
random_er,8.36734693877551,0.3
random_er,8.571428571428571,0.3
random_er,8.775510204081632,0.25
random_er,8.979591836734695,0.3
random_er,9.183673469387756,0.3
random_er,9.387755102040817,0.35
random_er,9.591836734693878,0.6
random_er,9.795918367346939,0.3
random_er,10.0,0.25
