K,trial,t_sync,r_final,phase_variance,convergence_rate
1.5,5,,0.5787122043027227,0.42128779569727726,-0.14814647064186603
1.5,6,6.353,0.8239609406684607,0.1760390593315393,0.05785897003920494
1.5,7,,0.5765276811417155,0.4234723188582845,0.024140463142610195
1.5,8,,0.25663207014494893,0.7433679298550511,-0.021058203293406526
1.5,9,,0.4591929295329461,0.5408070704670539,0.06946446843695528
2.0,0,,0.1907753598915608,0.8092246401084392,-0.14907192891808646
2.0,1,,0.46290090535307044,0.5370990946469296,0.007939786342893603
2.0,2,,0.7977106403981047,0.2022893596018953,-0.032071102954145454
2.0,3,0.246,0.7793305222900758,0.22066947770992418,0.021939100229261148
2.0,4,,0.5631711517970721,0.4368288482029279,0.07870025011880148
2.0,5,,0.5107575019485435,0.4892424980514565,-0.01919221630184398
2.0,6,,0.4421537158657502,0.5578462841342497,0.09246361856593158
2.0,7,6.815,0.3618563411595385,0.6381436588404614,-0.01771153332908503
2.0,8,,0.7802740462493567,0.2197259537506433,-0.008931048301602781
2.0,9,,0.6308553483996532,0.3691446516003468,-0.05324881078084995
2.5,0,5.599,0.8547707067075998,0.1452292932924002,-0.0040515796469147766
2.5,1,,0.8816745179861246,0.11832548201387538,-0.0045686143498668876
2.5,2,,0.4078000709095823,0.5921999290904176,0.04817330740267196
2.5,3,1.17,0.49184431010993157,0.5081556898900684,0.035100099508174866
2.5,4,,0.6724622653098193,0.32753773469018066,-0.1016354702985024
2.5,5,1.578,0.9194140336739739,0.0805859663260261,-0.0073631712338972435
2.5,6,0.209,0.4697125761574571,0.5302874238425429,-0.007522166308071694
2.5,7,,0.8607828907943272,0.13921710920567276,0.23323441562705718
2.5,8,,0.6520381107895498,0.34796188921045024,0.21191415463258173
2.5,9,1.822,0.9541070681065797,0.04589293189342025,0.040157463998392956
3.0,0,1.435,0.7360148006601133,0.26398519933988673,-0.01076528279698661
3.0,1,,0.4034427249995689,0.5965572750004311,-0.026988772943790505
3.0,2,3.436,0.7544247868195123,0.2455752131804877,-0.003850607085456539
3.0,3,1.232,0.9728601129064588,0.027139887093541204,0.0050611266688435986
3.0,4,0.834,0.8587850551637864,0.14121494483621355,-0.006224937486777023
3.0,5,3.348,0.7868832343926642,0.21311676560733583,-0.021605089285328904
3.0,6,,0.5772055767728551,0.4227944232271449,0.050365353937551316
3.0,7,,0.27667201780946354,0.7233279821905365,-0.027680604766959566
3.0,8,1.102,0.873670902074231,0.12632909792576896,-0.027773849051503707
3.0,9,1.846,0.9084983615363728,0.09150163846362724,-0.011399573424055424
3.5,0,4.441,0.658021015216123,0.341978984783877,0.005657905587683224
3.5,1,3.853,0.950564243454812,0.04943575654518795,-0.018251769263001753
3.5,2,2.34,0.7166361016479754,0.2833638983520246,0.003573028693517221
3.5,3,3.111,0.872157682237905,0.12784231776209498,0.01429305223737369
3.5,4,2.564,0.8006009834074883,0.1993990165925117,-0.008082352484597303
3.5,5,,0.6368230937550251,0.3631769062449749,-0.02257669824672722
3.5,6,5.3180000000000005,0.8453480883267834,0.15465191167321657,-0.017673351066216817
3.5,7,1.956,0.6860261144463562,0.3139738855536438,0.07874395668032512
3.5,8,1.22,0.4747826035688862,0.5252173964311138,0.027069887416070807
3.5,9,2.433,0.7328018367795083,0.2671981632204917,-0.04625223930206743
